case,frame,n_candidates,top1_similarity,top2_similarity,top3_similarity
Cosmos2.5_0016,0,1,0.9306849241256714,,
Cosmos2.5_0016,3,1,0.9284044504165649,,
Cosmos2.5_0016,6,1,0.9358906745910645,,
Cosmos2.5_0016,9,1,0.9317202568054199,,
Cosmos2.5_0016,12,1,0.9350091218948364,,
Cosmos2.5_0016,15,1,0.9389685392379761,,
Cosmos2.5_0016,18,1,0.936348021030426,,
Cosmos2.5_0016,21,1,0.9239248037338257,,
Cosmos2.5_0016,24,1,0.8983845710754395,,
Cosmos2.5_0016,27,2,0.9342692494392395,0.8237111568450928,
Cosmos2.5_0016,30,2,0.9350659847259521,0.8490017056465149,
Cosmos2.5_0016,33,2,0.9373526573181152,0.8192094564437866,
Cosmos2.5_0016,36,2,0.9373763203620911,0.8633200526237488,
Cosmos2.5_0016,39,2,0.9350970983505249,0.888693630695343,
Cosmos2.5_0016,42,2,0.9334523677825928,0.846280574798584,
Cosmos2.5_0016,45,2,0.9301084876060486,0.8692998290061951,
Cosmos2.5_0016,48,2,0.9387013912200928,0.8814505934715271,
Cosmos2.5_0016,51,2,0.9374874830245972,0.8606134653091431,
Cosmos2.5_0016,54,2,0.942208468914032,0.8791805505752563,
Cosmos2.5_0016,57,2,0.9511693120002747,0.8805027604103088,
Cosmos2.5_0016,60,3,0.9515955448150635,0.8869055509567261,0.8378933072090149
Cosmos2.5_0016,63,3,0.9466665983200073,0.8894369006156921,0.8448922634124756
Cosmos2.5_0016,66,2,0.9367902874946594,0.8907862901687622,
Cosmos2.5_0016,69,2,0.9339219331741333,0.8951990604400635,
Cosmos2.5_0016,72,2,0.9351857900619507,0.8792035579681396,
Cosmos2.5_0016,75,2,0.9344990253448486,0.87392258644104,
Cosmos2.5_0016,78,2,0.9422186613082886,0.8926035761833191,
Cosmos2.5_0016,81,3,0.938522219657898,0.8930705785751343,0.5724065899848938
Cosmos2.5_0016,84,2,0.9359315037727356,0.8753774762153625,
Cosmos2.5_0016,87,3,0.9372221231460571,0.8879019021987915,0.8386526107788086
Cosmos2.5_0016,90,3,0.9323736429214478,0.8731037378311157,0.8467137813568115
Cosmos2.5_0016,92,3,0.9295065402984619,0.8796179294586182,0.835311770439148
Cosmos2.5_0058,0,1,0.9692679643630981,,
Cosmos2.5_0058,3,1,0.957352876663208,,
Cosmos2.5_0058,6,1,0.9603431224822998,,
Cosmos2.5_0058,9,1,0.9645693302154541,,
Cosmos2.5_0058,12,1,0.9696836471557617,,
Cosmos2.5_0058,15,2,0.941791296005249,0.6894094944000244,
Cosmos2.5_0058,18,2,0.9598249197006226,0.6821339130401611,
Cosmos2.5_0058,21,2,0.9631750583648682,0.7821406126022339,
Cosmos2.5_0058,24,2,0.961132287979126,0.858683168888092,
Cosmos2.5_0058,27,2,0.9632647633552551,0.8597110509872437,
Cosmos2.5_0058,30,2,0.9552976489067078,0.8640377521514893,
Cosmos2.5_0058,33,2,0.9508980512619019,0.7780967354774475,
Cosmos2.5_0058,36,2,0.9489369988441467,0.8099867105484009,
Cosmos2.5_0058,39,3,0.9621942043304443,0.8470611572265625,0.5482431650161743
Cosmos2.5_0058,42,3,0.9665707349777222,0.8377852439880371,0.7015450596809387
Cosmos2.5_0058,45,3,0.9499635696411133,0.8435566425323486,0.7072458863258362
Cosmos2.5_0058,48,3,0.9477757215499878,0.8169950246810913,0.7012025117874146
Cosmos2.5_0058,51,3,0.9572149515151978,0.8199961185455322,0.6713608503341675
Cosmos2.5_0058,54,3,0.9588934183120728,0.7939081788063049,0.6321759819984436
Cosmos2.5_0058,57,3,0.9667527675628662,0.7419226765632629,0.6624120473861694
Cosmos2.5_0058,60,3,0.960708498954773,0.7349260449409485,0.6323423981666565
Cosmos2.5_0058,63,3,0.9604950547218323,0.7538061141967773,0.658645510673523
Cosmos2.5_0058,66,3,0.9600965976715088,0.7697048187255859,0.6803935170173645
Cosmos2.5_0058,69,3,0.9580284953117371,0.7915079593658447,0.6721082925796509
Cosmos2.5_0058,72,3,0.9518972635269165,0.8025610446929932,0.6838282346725464
Cosmos2.5_0058,75,3,0.9494911432266235,0.7957359552383423,0.6856197118759155
Cosmos2.5_0058,78,3,0.9539085626602173,0.826244056224823,0.7507103681564331
Cosmos2.5_0058,81,3,0.9580506682395935,0.8198581337928772,0.7707918882369995
Cosmos2.5_0058,84,3,0.9569507241249084,0.8640583157539368,0.75373375415802
Cosmos2.5_0058,87,3,0.9474856853485107,0.8503103256225586,0.7305176258087158
Cosmos2.5_0058,90,3,0.9548293948173523,0.800055742263794,0.7429452538490295
Cosmos2.5_0058,92,4,0.9471067786216736,0.7819436192512512,0.7415696382522583
Cosmos2.5_0060,0,1,0.9544080495834351,,
Cosmos2.5_0060,3,1,0.934721827507019,,
Cosmos2.5_0060,6,2,0.9552427530288696,0.8147038221359253,
Cosmos2.5_0060,9,2,0.8604556322097778,0.7859861850738525,
Cosmos2.5_0060,12,2,0.8910324573516846,0.8515874743461609,
Cosmos2.5_0060,15,2,0.9235683679580688,0.8029992580413818,
Cosmos2.5_0060,18,2,0.9167910218238831,0.7916936278343201,
Cosmos2.5_0060,21,2,0.9248460531234741,0.8572152256965637,
Cosmos2.5_0060,24,2,0.9376109838485718,0.8049054145812988,
Cosmos2.5_0060,27,2,0.9465307593345642,0.8149405717849731,
Cosmos2.5_0060,30,2,0.9360272884368896,0.8767504096031189,
Cosmos2.5_0060,33,3,0.9354177713394165,0.7967585325241089,0.7105646133422852
Cosmos2.5_0060,36,3,0.9269253015518188,0.7957805395126343,0.7376053333282471
Cosmos2.5_0060,39,3,0.9470158815383911,0.8307749629020691,0.7085102796554565
Cosmos2.5_0060,42,4,0.9463303089141846,0.9344627261161804,0.8279194831848145
Cosmos2.5_0060,45,5,0.9442247152328491,0.9343516230583191,0.8357036113739014
Cosmos2.5_0060,48,6,0.9500659704208374,0.940805971622467,0.8036918640136719
Cosmos2.5_0060,51,4,0.9434939622879028,0.9299925565719604,0.783865213394165
Cosmos2.5_0060,54,4,0.9346295595169067,0.9321017861366272,0.8004149198532104
Cosmos2.5_0060,57,4,0.9482946395874023,0.9245681762695312,0.7779741287231445
Cosmos2.5_0060,60,4,0.9456006288528442,0.9173308610916138,0.7790820598602295
Cosmos2.5_0060,63,4,0.9518551826477051,0.9410717487335205,0.831678569316864
Cosmos2.5_0060,66,4,0.9357081055641174,0.9209913015365601,0.8541139364242554
Cosmos2.5_0060,69,5,0.9314169883728027,0.9265496730804443,0.8277394771575928
Cosmos2.5_0060,72,3,0.9315382242202759,0.820489227771759,0.753448486328125
Cosmos2.5_0060,75,4,0.9304594993591309,0.918374240398407,0.8177090883255005
Cosmos2.5_0060,78,5,0.9418138265609741,0.9307056665420532,0.8214676380157471
